paper_id,title,authors,author_count,year,published,venue_or_source,primary_category,doi,url,pdf_url,licence,file,file_size_bytes
1706.03762,Attention Is All You Need,Ashish Vaswani; Noam Shazeer; Niki Parmar; Jakob Uszkoreit; Llion Jones; Aidan N. Gomez; Lukasz Kaiser; Illia Polosukhin,8,2017,2017-06-12,arXiv,cs.CL,,https://arxiv.org/abs/1706.03762,https://arxiv.org/pdf/1706.03762,arXiv open access (see the paper's own licence line),data/samples/1706.03762.pdf,2215244
1810.04805,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Jacob Devlin; Ming-Wei Chang; Kenton Lee; Kristina Toutanova,4,2018,2018-10-11,arXiv,cs.CL,,https://arxiv.org/abs/1810.04805,https://arxiv.org/pdf/1810.04805,arXiv open access (see the paper's own licence line),data/samples/1810.04805.pdf,775166
2005.11401,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Patrick Lewis; Ethan Perez; Aleksandra Piktus; Fabio Petroni; Vladimir Karpukhin; Naman Goyal; Heinrich Küttler; Mike Lewis; Wen-tau Yih; Tim Rocktäschel; Sebastian Riedel; Douwe Kiela,12,2020,2020-05-22,arXiv,cs.CL,,https://arxiv.org/abs/2005.11401,https://arxiv.org/pdf/2005.11401,arXiv open access (see the paper's own licence line),data/samples/2005.11401.pdf,885323
1903.10676,SciBERT: A Pretrained Language Model for Scientific Text,Iz Beltagy; Kyle Lo; Arman Cohan,3,2019,2019-03-26,arXiv,cs.CL,,https://arxiv.org/abs/1903.10676,https://arxiv.org/pdf/1903.10676,arXiv open access (see the paper's own licence line),data/samples/1903.10676.pdf,120281
2004.04228,Asking and Answering Questions to Evaluate the Factual Consistency of Summaries,Alex Wang; Kyunghyun Cho; Mike Lewis,3,2020,2020-04-08,arXiv,cs.CL,,https://arxiv.org/abs/2004.04228,https://arxiv.org/pdf/2004.04228,arXiv open access (see the paper's own licence line),data/samples/2004.04228.pdf,1182348
